unix,date,symbol,open,high,low,close
1694131200,08.09.23 00:00,BTC/USD,26256,26264,26230,26230
1694127600,07.09.23 23:00,BTC/USD,26323,26357,26139,26245
1694124000,07.09.23 22:00,BTC/USD,26178,26417,26178,26327
1694120400,07.09.23 21:00,BTC/USD,26012,26400,26004,26157
1694116800,07.09.23 20:00,BTC/USD,25871,26012,25844,25994
1694113200,07.09.23 19:00,BTC/USD,25893,25900,25826,25886
1694109600,07.09.23 18:00,BTC/USD,25929,25957,25847,25887
1694106000,07.09.23 17:00,BTC/USD,25814,25946,25788,25918
1694102400,07.09.23 16:00,BTC/USD,25755,25941,25755,25813
1694098800,07.09.23 15:00,BTC/USD,25748,25813,25725,25760
1694095200,07.09.23 14:00,BTC/USD,25627,25748,25600,25748
1694091600,07.09.23 13:00,BTC/USD,25647,25744,25609,25624
1694088000,07.09.23 12:00,BTC/USD,25690,25703,25624,25642
1694084400,07.09.23 11:00,BTC/USD,25732,25738,25677,25692
1694080800,07.09.23 10:00,BTC/USD,25726,25738,25707,25732
1694077200,07.09.23 09:00,BTC/USD,25732,25749,25725,25725
1694073600,07.09.23 08:00,BTC/USD,25755,25755,25725,25731
1694070000,07.09.23 07:00,BTC/USD,25751,25760,25735,25758
1694066400,07.09.23 06:00,BTC/USD,25778,25784,25754,25754
1694062800,07.09.23 05:00,BTC/USD,25803,25808,25766,25777
1694059200,07.09.23 04:00,BTC/USD,25816,25828,25779,25807
1694055600,07.09.23 03:00,BTC/USD,25739,25816,25739,25816
1694052000,07.09.23 02:00,BTC/USD,25733,25769,25720,25739
1694048400,07.09.23 01:00,BTC/USD,25747,25766,25709,25736
1694044800,07.09.23 00:00,BTC/USD,25750,25760,25718,25743
1694041200,06.09.23 23:00,BTC/USD,25733,25772,25722,25748
1694037600,06.09.23 22:00,BTC/USD,25718,25760,25711,25733
1694034000,06.09.23 21:00,BTC/USD,25663,25744,25653,25715
1694030400,06.09.23 20:00,BTC/USD,25670,25701,25633,25665
1694026800,06.09.23 19:00,BTC/USD,25613,25710,25575,25659
1694023200,06.09.23 18:00,BTC/USD,25846,25952,25582,25617
1694019600,06.09.23 17:00,BTC/USD,25584,26000,25386,25859
1694016000,06.09.23 16:00,BTC/USD,25579,25625,25541,25583
1694012400,06.09.23 15:00,BTC/USD,25586,25637,25541,25578
1694008800,06.09.23 14:00,BTC/USD,25724,25724,25528,25598
1694005200,06.09.23 13:00,BTC/USD,25705,25754,25674,25724
1694001600,06.09.23 12:00,BTC/USD,25718,25736,25687,25711
1693998000,06.09.23 11:00,BTC/USD,25719,25760,25711,25722
1693994400,06.09.23 10:00,BTC/USD,25739,25757,25714,25719
1693990800,06.09.23 09:00,BTC/USD,25742,25749,25703,25738
1693987200,06.09.23 08:00,BTC/USD,25713,25749,25712,25739
1693983600,06.09.23 07:00,BTC/USD,25762,25771,25713,25713
1693980000,06.09.23 06:00,BTC/USD,25732,25772,25729,25761
1693976400,06.09.23 05:00,BTC/USD,25750,25756,25729,25734
1693972800,06.09.23 04:00,BTC/USD,25770,25778,25744,25745
1693969200,06.09.23 03:00,BTC/USD,25835,25844,25769,25771
1693965600,06.09.23 02:00,BTC/USD,25774,25837,25766,25835
1693962000,06.09.23 01:00,BTC/USD,25795,25816,25769,25774
1693958400,06.09.23 00:00,BTC/USD,25779,25820,25769,25793
1693954800,05.09.23 23:00,BTC/USD,25757,25793,25757,25783
1693951200,05.09.23 22:00,BTC/USD,25725,25760,25713,25758
1693947600,05.09.23 21:00,BTC/USD,25706,25754,25702,25723
1693944000,05.09.23 20:00,BTC/USD,25675,25733,25667,25703
1693940400,05.09.23 19:00,BTC/USD,25731,25758,25672,25672
