unix,date,symbol,open,high,low,close
1694131200,08.09.23 00:00,ETH/USD,1647.8,1647.8,1645.4,1645.8
1694127600,07.09.23 23:00,ETH/USD,1649.7,1651.6,1644.2,1647.9
1694124000,07.09.23 22:00,ETH/USD,1647.4,1653.8,1646.2,1649.7
1694120400,07.09.23 21:00,ETH/USD,1637.9,1658.1,1637.9,1645.7
1694116800,07.09.23 20:00,ETH/USD,1636.5,1638.9,1634.8,1637.9
1694113200,07.09.23 19:00,ETH/USD,1635.5,1637.4,1632.2,1637.1
1694109600,07.09.23 18:00,ETH/USD,1639.6,1640,1633.6,1635.5
1694106000,07.09.23 17:00,ETH/USD,1633.2,1639.2,1630.5,1637.9
1694102400,07.09.23 16:00,ETH/USD,1629.1,1639.4,1628.6,1633
1694098800,07.09.23 15:00,ETH/USD,1631,1633.1,1627.8,1629.4
1694095200,07.09.23 14:00,ETH/USD,1625.1,1631,1622.6,1630.9
1694091600,07.09.23 13:00,ETH/USD,1625.2,1632.2,1624.2,1625
1694088000,07.09.23 12:00,ETH/USD,1626.3,1629,1623.6,1625.2
1694084400,07.09.23 11:00,ETH/USD,1629.8,1630.7,1625.4,1626.6
1694080800,07.09.23 10:00,ETH/USD,1631.5,1632.7,1628.4,1630.1
1694077200,07.09.23 09:00,ETH/USD,1632.3,1633.6,1630.5,1630.9
1694073600,07.09.23 08:00,ETH/USD,1635.3,1635.3,1631.2,1632.9
1694070000,07.09.23 07:00,ETH/USD,1636.6,1637.1,1634.8,1635.3
1694066400,07.09.23 06:00,ETH/USD,1637.4,1638.1,1636.4,1636.7
1694062800,07.09.23 05:00,ETH/USD,1638.7,1639.8,1636.7,1637.7
1694059200,07.09.23 04:00,ETH/USD,1638.9,1641.2,1637,1638.9
1694055600,07.09.23 03:00,ETH/USD,1632.9,1638.9,1632.8,1638.9
1694052000,07.09.23 02:00,ETH/USD,1633.3,1637.8,1631.7,1633.2
1694048400,07.09.23 01:00,ETH/USD,1633.6,1633.7,1631.2,1633.3
1694044800,07.09.23 00:00,ETH/USD,1632.2,1633.1,1631,1633.1
1694041200,06.09.23 23:00,ETH/USD,1630.9,1633.4,1630.1,1632.2
1694037600,06.09.23 22:00,ETH/USD,1631.7,1634.4,1630.6,1631
1694034000,06.09.23 21:00,ETH/USD,1627.5,1632.6,1627.5,1631.7
1694030400,06.09.23 20:00,ETH/USD,1630.2,1632.7,1627.5,1627.7
1694026800,06.09.23 19:00,ETH/USD,1627,1632,1625.4,1629.7
1694023200,06.09.23 18:00,ETH/USD,1646.1,1654.8,1625.2,1626.9
1694019600,06.09.23 17:00,ETH/USD,1622.7,1668.6,1608.8,1647.4
1694016000,06.09.23 16:00,ETH/USD,1622.3,1624.8,1620.9,1622.7
1694012400,06.09.23 15:00,ETH/USD,1622.9,1626.4,1619,1622.9
1694008800,06.09.23 14:00,ETH/USD,1630.9,1631,1618.7,1623.5
1694005200,06.09.23 13:00,ETH/USD,1631.8,1634,1629.1,1631.5
1694001600,06.09.23 12:00,ETH/USD,1632,1633.8,1630,1631.9
1693998000,06.09.23 11:00,ETH/USD,1631,1635,1630.7,1631.9
1693994400,06.09.23 10:00,ETH/USD,1631.3,1633.3,1630.7,1631
1693990800,06.09.23 09:00,ETH/USD,1630.7,1632.5,1628.9,1631.6
1693987200,06.09.23 08:00,ETH/USD,1628.3,1631.4,1628.2,1631
1693983600,06.09.23 07:00,ETH/USD,1629.5,1630.8,1628.3,1628.3
1693980000,06.09.23 06:00,ETH/USD,1628.1,1630.9,1626.9,1629.5
1693976400,06.09.23 05:00,ETH/USD,1629.7,1630.7,1627.2,1628.1
1693972800,06.09.23 04:00,ETH/USD,1632.5,1633.1,1629.5,1629.7
1693969200,06.09.23 03:00,ETH/USD,1639,1639.3,1632.4,1632.7
1693965600,06.09.23 02:00,ETH/USD,1633,1639.2,1632.1,1639
1693962000,06.09.23 01:00,ETH/USD,1633.4,1635,1632.4,1632.8
1693958400,06.09.23 00:00,ETH/USD,1634,1634.7,1631.3,1633.2
1693954800,05.09.23 23:00,ETH/USD,1631.7,1634,1630.9,1634
1693951200,05.09.23 22:00,ETH/USD,1630.3,1631.4,1629,1631.2
1693947600,05.09.23 21:00,ETH/USD,1629,1632.7,1628.8,1629.8
1693944000,05.09.23 20:00,ETH/USD,1631.8,1632.8,1626.5,1629.6
