unix,date,symbol,open,high,low,close
1694131200,08.09.23 00:00,LINK/USD,6.42,6.42,6.42,6.42
1694127600,07.09.23 23:00,LINK/USD,6.42,6.42,6.42,6.42
1694124000,07.09.23 22:00,LINK/USD,6.42,6.42,6.42,6.42
1694120400,07.09.23 21:00,LINK/USD,6.36,6.41,6.36,6.4
1694116800,07.09.23 20:00,LINK/USD,6.29,6.29,6.29,6.29
1694113200,07.09.23 19:00,LINK/USD,6.29,6.29,6.29,6.29
1694109600,07.09.23 18:00,LINK/USD,6.28,6.28,6.27,6.28
1694106000,07.09.23 17:00,LINK/USD,6.28,6.28,6.27,6.27
1694102400,07.09.23 16:00,LINK/USD,6.26,6.31,6.26,6.28
1694098800,07.09.23 15:00,LINK/USD,6.27,6.27,6.25,6.26
1694095200,07.09.23 14:00,LINK/USD,6.22,6.24,6.22,6.23
1694091600,07.09.23 13:00,LINK/USD,6.23,6.23,6.21,6.21
1694088000,07.09.23 12:00,LINK/USD,6.26,6.26,6.26,6.26
1694084400,07.09.23 11:00,LINK/USD,6.26,6.26,6.26,6.26
1694080800,07.09.23 10:00,LINK/USD,6.25,6.25,6.25,6.25
1694077200,07.09.23 09:00,LINK/USD,6.29,6.29,6.28,6.28
1694073600,07.09.23 08:00,LINK/USD,6.3,6.3,6.29,6.29
1694070000,07.09.23 07:00,LINK/USD,6.31,6.31,6.31,6.31
1694066400,07.09.23 06:00,LINK/USD,6.34,6.34,6.31,6.31
1694062800,07.09.23 05:00,LINK/USD,6.33,6.34,6.33,6.34
1694059200,07.09.23 04:00,LINK/USD,6.38,6.38,6.34,6.34
1694055600,07.09.23 03:00,LINK/USD,6.35,6.35,6.35,6.35
1694052000,07.09.23 02:00,LINK/USD,6.33,6.38,6.33,6.38
1694048400,07.09.23 01:00,LINK/USD,6.31,6.35,6.31,6.35
1694044800,07.09.23 00:00,LINK/USD,6.32,6.32,6.28,6.3
1694041200,06.09.23 23:00,LINK/USD,6.26,6.26,6.26,6.26
1694037600,06.09.23 22:00,LINK/USD,6.28,6.28,6.26,6.26
1694034000,06.09.23 21:00,LINK/USD,6.25,6.27,6.25,6.27
1694030400,06.09.23 20:00,LINK/USD,6.24,6.27,6.24,6.25
1694026800,06.09.23 19:00,LINK/USD,6.24,6.27,6.24,6.24
1694023200,06.09.23 18:00,LINK/USD,6.31,6.32,6.22,6.25
1694019600,06.09.23 17:00,LINK/USD,6.14,6.22,6.1,6.22
1694016000,06.09.23 16:00,LINK/USD,6.17,6.18,6.16,6.17
1694012400,06.09.23 15:00,LINK/USD,6.16,6.2,6.14,6.19
1694008800,06.09.23 14:00,LINK/USD,6.14,6.17,6.11,6.17
1694005200,06.09.23 13:00,LINK/USD,6.12,6.14,6.11,6.14
1694001600,06.09.23 12:00,LINK/USD,6.12,6.13,6.11,6.11
1693998000,06.09.23 11:00,LINK/USD,6.14,6.14,6.12,6.12
1693994400,06.09.23 10:00,LINK/USD,6.14,6.15,6.14,6.15
1693990800,06.09.23 09:00,LINK/USD,6.13,6.13,6.12,6.12
1693987200,06.09.23 08:00,LINK/USD,6.14,6.14,6.14,6.14
