unix,date,symbol,open,high,low,close
1694131200,08.09.23 00:00,LTC/USD,63.69,63.69,63.63,63.63
1694127600,07.09.23 23:00,LTC/USD,63.66,63.66,63.55,63.66
1694124000,07.09.23 22:00,LTC/USD,63.67,63.86,63.56,63.86
1694120400,07.09.23 21:00,LTC/USD,63.2,64.22,63.16,63.6
1694116800,07.09.23 20:00,LTC/USD,62.95,63.07,62.93,63.07
1694113200,07.09.23 19:00,LTC/USD,62.86,62.88,62.75,62.83
1694109600,07.09.23 18:00,LTC/USD,63.09,63.09,62.76,62.85
1694106000,07.09.23 17:00,LTC/USD,62.95,63.01,62.76,63
1694102400,07.09.23 16:00,LTC/USD,62.83,63.17,62.83,63.01
1694098800,07.09.23 15:00,LTC/USD,62.97,63.01,62.71,62.71
1694095200,07.09.23 14:00,LTC/USD,62.51,62.85,62.51,62.81
1694091600,07.09.23 13:00,LTC/USD,62.89,62.92,62.62,62.62
1694088000,07.09.23 12:00,LTC/USD,62.84,62.94,62.74,62.74
1694084400,07.09.23 11:00,LTC/USD,63.04,63.04,62.8,62.8
1694080800,07.09.23 10:00,LTC/USD,63.02,63.06,62.95,62.95
1694077200,07.09.23 09:00,LTC/USD,63.08,63.16,62.99,62.99
1694073600,07.09.23 08:00,LTC/USD,63.15,63.15,63.05,63.12
1694070000,07.09.23 07:00,LTC/USD,63.04,63.17,63.02,63.17
1694066400,07.09.23 06:00,LTC/USD,62.96,63.01,62.88,63
1694062800,07.09.23 05:00,LTC/USD,62.98,63.08,62.91,63.08
1694059200,07.09.23 04:00,LTC/USD,63.19,63.19,62.99,62.99
1694055600,07.09.23 03:00,LTC/USD,63.15,63.29,63.07,63.25
1694052000,07.09.23 02:00,LTC/USD,63.06,63.16,62.97,63.08
1694048400,07.09.23 01:00,LTC/USD,63.01,63.05,62.93,62.93
1694044800,07.09.23 00:00,LTC/USD,62.85,62.89,62.78,62.89
1694041200,06.09.23 23:00,LTC/USD,62.66,62.81,62.64,62.81
1694037600,06.09.23 22:00,LTC/USD,62.85,62.88,62.74,62.78
