unix,date,symbol,open,high,low,close
1694131200,08.09.23 00:00,XRP/USD,0.50488,0.50492,0.50411,0.50465
1694127600,07.09.23 23:00,XRP/USD,0.50512,0.5058,0.50379,0.50511
1694124000,07.09.23 22:00,XRP/USD,0.50424,0.50579,0.50424,0.50506
1694120400,07.09.23 21:00,XRP/USD,0.5025,0.50633,0.50171,0.50461
1694116800,07.09.23 20:00,XRP/USD,0.50103,0.50222,0.5005,0.5021
1694113200,07.09.23 19:00,XRP/USD,0.50117,0.50161,0.50039,0.50135
1694109600,07.09.23 18:00,XRP/USD,0.50134,0.50145,0.5005,0.501
1694106000,07.09.23 17:00,XRP/USD,0.50011,0.50145,0.49881,0.5011
1694102400,07.09.23 16:00,XRP/USD,0.49913,0.50166,0.49886,0.5005
1694098800,07.09.23 15:00,XRP/USD,0.49898,0.49957,0.49859,0.4992
1694095200,07.09.23 14:00,XRP/USD,0.49832,0.49917,0.49749,0.49899
1694091600,07.09.23 13:00,XRP/USD,0.4984,0.49971,0.49811,0.49832
1694088000,07.09.23 12:00,XRP/USD,0.49797,0.49905,0.497,0.4989
1694084400,07.09.23 11:00,XRP/USD,0.49826,0.49887,0.4976,0.49797
1694080800,07.09.23 10:00,XRP/USD,0.49837,0.499,0.4977,0.4982
1694077200,07.09.23 09:00,XRP/USD,0.49692,0.49833,0.49589,0.49804
1694073600,07.09.23 08:00,XRP/USD,0.49964,0.49993,0.49668,0.49668
1694070000,07.09.23 07:00,XRP/USD,0.49904,0.5002,0.498,0.50017
1694066400,07.09.23 06:00,XRP/USD,0.50095,0.50105,0.49899,0.49899
1694062800,07.09.23 05:00,XRP/USD,0.5029,0.5039,0.50165,0.50165
1694059200,07.09.23 04:00,XRP/USD,0.50275,0.50306,0.50261,0.50286
1694055600,07.09.23 03:00,XRP/USD,0.50183,0.50329,0.50183,0.50309
1694052000,07.09.23 02:00,XRP/USD,0.501,0.50191,0.50088,0.50188
1694048400,07.09.23 01:00,XRP/USD,0.50117,0.50164,0.49982,0.50106
1694044800,07.09.23 00:00,XRP/USD,0.50261,0.50276,0.5,0.50037
1694041200,06.09.23 23:00,XRP/USD,0.50228,0.50354,0.50195,0.50301
1694037600,06.09.23 22:00,XRP/USD,0.50242,0.50338,0.50197,0.50208
1694034000,06.09.23 21:00,XRP/USD,0.5004,0.5025,0.5004,0.50214
1694030400,06.09.23 20:00,XRP/USD,0.50075,0.50206,0.50039,0.50039
1694026800,06.09.23 19:00,XRP/USD,0.49749,0.50143,0.49749,0.5012
1694023200,06.09.23 18:00,XRP/USD,0.50222,0.50352,0.49764,0.49799
1694019600,06.09.23 17:00,XRP/USD,0.49651,0.504,0.491,0.50279
1694016000,06.09.23 16:00,XRP/USD,0.49701,0.49795,0.49639,0.49668
1694012400,06.09.23 15:00,XRP/USD,0.49834,0.49902,0.49349,0.49746
1694008800,06.09.23 14:00,XRP/USD,0.5012,0.5012,0.49723,0.49889
1694005200,06.09.23 13:00,XRP/USD,0.50117,0.50207,0.50077,0.50137
1694001600,06.09.23 12:00,XRP/USD,0.50117,0.50157,0.50042,0.50133
1693998000,06.09.23 11:00,XRP/USD,0.50092,0.50153,0.50025,0.5011
1693994400,06.09.23 10:00,XRP/USD,0.50114,0.50139,0.5004,0.50139
1693990800,06.09.23 09:00,XRP/USD,0.50004,0.50182,0.49963,0.50164
1693987200,06.09.23 08:00,XRP/USD,0.50152,0.5018,0.50054,0.50105
1693983600,06.09.23 07:00,XRP/USD,0.50103,0.50242,0.50019,0.50168
1693980000,06.09.23 06:00,XRP/USD,0.503,0.503,0.5002,0.5011
1693976400,06.09.23 05:00,XRP/USD,0.50427,0.50449,0.50324,0.50352
1693972800,06.09.23 04:00,XRP/USD,0.50387,0.50489,0.50382,0.50424
1693969200,06.09.23 03:00,XRP/USD,0.50449,0.50505,0.50361,0.50415
1693965600,06.09.23 02:00,XRP/USD,0.50418,0.5051,0.50394,0.50504
1693962000,06.09.23 01:00,XRP/USD,0.50501,0.50501,0.50393,0.50415
1693958400,06.09.23 00:00,XRP/USD,0.50516,0.50527,0.50325,0.50469
1693954800,05.09.23 23:00,XRP/USD,0.50531,0.50607,0.50518,0.50522
1693951200,05.09.23 22:00,XRP/USD,0.50376,0.50559,0.50376,0.50526
1693947600,05.09.23 21:00,XRP/USD,0.504,0.50585,0.504,0.5042
1693944000,05.09.23 20:00,XRP/USD,0.50209,0.50385,0.50209,0.50375
1693940400,05.09.23 19:00,XRP/USD,0.50258,0.50372,0.50256,0.50256
1693936800,05.09.23 18:00,XRP/USD,0.5028,0.50302,0.50172,0.50222
1693933200,05.09.23 17:00,XRP/USD,0.50112,0.5027,0.50041,0.50261
1693929600,05.09.23 16:00,XRP/USD,0.50167,0.50358,0.50083,0.50142
1693926000,05.09.23 15:00,XRP/USD,0.50086,0.50481,0.50081,0.5019
1693922400,05.09.23 14:00,XRP/USD,0.50081,0.50138,0.49866,0.50105
1693918800,05.09.23 13:00,XRP/USD,0.50311,0.50311,0.501,0.501
1693915200,05.09.23 12:00,XRP/USD,0.50324,0.50333,0.50169,0.50304
1693911600,05.09.23 11:00,XRP/USD,0.50377,0.50405,0.5022,0.50328
1693908000,05.09.23 10:00,XRP/USD,0.50302,0.50455,0.503,0.50365
1693904400,05.09.23 09:00,XRP/USD,0.50205,0.50409,0.50171,0.503
1693900800,05.09.23 08:00,XRP/USD,0.50426,0.50528,0.5015,0.50213
1693897200,05.09.23 07:00,XRP/USD,0.5025,0.50432,0.50095,0.50432
1693893600,05.09.23 06:00,XRP/USD,0.50484,0.50484,0.5023,0.5023
1693890000,05.09.23 05:00,XRP/USD,0.50687,0.50726,0.50481,0.50481
1693886400,05.09.23 04:00,XRP/USD,0.50526,0.50759,0.50526,0.50657
1693882800,05.09.23 03:00,XRP/USD,0.50397,0.50534,0.50187,0.50534
1693879200,05.09.23 02:00,XRP/USD,0.50367,0.5041,0.50274,0.5039
1693875600,05.09.23 01:00,XRP/USD,0.50432,0.50525,0.50387,0.50387
1693872000,05.09.23 00:00,XRP/USD,0.50844,0.50844,0.50438,0.50438
1693868400,04.09.23 23:00,XRP/USD,0.50774,0.50859,0.50746,0.50844
